"Item_Number","Set_Name","Theme","Pieces","Year","Pages","Minifigures","Packaging","Unique_Pieces","Size","amazon_price","age"
10859,"My First Ladybird","Duplo",6,2018,9,NA,"Box",5,"Large",16,1
10860,"My First Race Car","Duplo",6,2018,9,NA,"Box",6,"Large",9.45,1
10862,"My First Celebration","Duplo",41,2018,9,NA,"Box",18,"Large",39.89,1
10864,"Large Playground Brick Box","Duplo",71,2018,32,2,"Plastic box",49,"Large",56.69,2
10867,"Farmers' Market","Duplo",26,2018,9,3,"Box",18,"Large",36.99,2
10870,"Farm Animals","Duplo",16,2018,8,NA,"Box",13,"Large",9.99,2
10872,"Train Bridge and Tracks","Duplo",26,2018,16,1,"Box",10,"Large",21.99,2
10875,"Cargo Train","Duplo",105,2018,64,3,"Box",68,"Large",128.95,2
10876,"Spider-Man & Hulk Adventures","Duplo",38,2018,20,3,"Box",29,"Large",74.5,2
10878,"Rapunzel's Tower","Duplo",37,2018,24,1,"Box",26,"Large",98.99,2
10882,"Train Tracks","Duplo",23,2018,16,NA,"Box",9,"Large",17.99,2
10885,"My First Fun Puzzle","Duplo",15,2019,9,NA,NA,15,"Large",19.55,1
10886,"My First Car Creations","Duplo",34,2019,10,NA,NA,31,"Large",16,1
10901,"Fire Truck","Duplo",21,2019,10,2,"Box",16,"Large",17.99,2
10904,"Baby Animals","Duplo",9,2019,8,NA,"Box",9,"Large",21.11,2
10906,"Tropical Island","Duplo",73,2019,40,3,"Box",44,"Large",59.99,2
10908,"Plane","Duplo",12,2019,10,1,"Box",11,"Large",23.27,2
10910,"Submarine Adventure","Duplo",24,2019,8,2,"Box",22,"Large",17.99,2
10915,"Alphabet Truck","Duplo",36,2020,1,2,"Box",35,"Large",21.99,1
10918,"Tow Truck","Duplo",7,2020,3,NA,"Box with backing card",7,"Large",6.29,1
10921,"Super Heroes Lab","Duplo",30,2020,16,3,"Box",23,"Large",26.99,2
10926,"Bedroom","Duplo",16,2020,2,2,"Box",16,"Large",14.99,2
10927,"Pizza Stand","Duplo",18,2020,12,1,"Box",15,"Large",8.99,2
10928,"Bakery","Duplo",46,2020,20,2,"Box",33,"Large",29.99,2
10929,"Modular Playhouse","Duplo",129,2020,84,3,"Box",56,"Large",59.99,2
41330,"Stephanie's Soccer Practice","Friends",119,2018,48,1,"Box",78,"Small",40.4,6
41333,"Olivia's Mission Vehicle","Friends",223,2018,84,1,"Box",106,"Small",45.95,6
41335,"Mia's Tree House","Friends",351,2018,120,2,"Box",151,"Small",53.88,6
41340,"Friendship House","Friends",722,2018,164,3,"Box",309,"Small",184.99,6
41353,"Friends Advent Calendar","Friends",500,2018,4,NA,"Box",202,"Small",34,6
41356,"Stephanie's Heart Box","Friends",85,2019,32,1,NA,36,"Small",14.99,6
41358,"Mia's Heart Box","Friends",83,2019,32,1,NA,38,"Small",18.64,6
41363,"Mia's Forest Adventures ","Friends",134,2019,44,1,NA,77,"Small",18.95,6
41367,"Stephanie's Obstacle Course","Friends",337,2019,100,2,NA,168,"Small",35.99,6
41369,"Mia's House","Friends",715,2019,192,3,NA,274,"Small",62.99,6
41374,"Andrea's Pool Party","Friends",468,2019,112,2,"Box",221,"Small",40,6
41376,"Turtles Rescue Mission","Friends",225,2019,72,2,"Box",125,"Small",31.27,6
41378,"Dolphins Rescue Mission","Friends",363,2019,116,2,"Box",192,"Small",31.67,6
41384,"Andrea's Summer Heart Box","Friends",83,2019,36,1,"Other",46,"Small",14.99,6
41387,"Olivia's Summer Heart Box","Friends",93,2019,40,2,"Other",48,"Small",7.99,6
41394,"Heartlake City Hospital","Friends",379,2020,132,3,"Box",154,"Small",48.53,6
41396,"Puppy Playground","Friends",57,2020,40,1,"Box",41,"Small",8.99,4
41400,"Andrea's Play Cube - Singer","Friends",49,2020,5,1,"Box",32,"Small",18.93,6
41403,"Mia's Play Cube - Veterinarian","Friends",40,2020,5,1,"Box",32,"Small",17.97,6
41408,"Mia's Play Cube - Cinema","Friends",37,2020,5,1,"Box",31,"Small",15.32,6
41421,"Baby Elephant Jungle Rescue","Friends",203,2020,68,2,"Box",111,"Small",19.99,6
41423,"Tiger Hot Air Balloon Jungle Rescue","Friends",302,2020,116,2,"Box",145,"Small",39.95,7
41424,"Jungle Rescue Base","Friends",648,2020,176,3,"Box",251,"Small",79.95,8
41427,"Emma's Fashion Shop","Friends",343,2020,112,2,"Box",152,"Small",29.95,6
41428,"Beach House","Friends",444,2020,160,2,"Box",216,"Small",49.95,6
60170,"Off-Road Chase","City",37,2018,20,2,"Box",28,"Small",30.89,5
60171,"Mountain Fugitives","City",88,2018,36,4,"Box",61,"Small",16.49,5
60172,"Dirt Road Pursuit","City",297,2018,116,3,"Box",140,"Small",64.75,5
60182,"Pickup & Caravan","City",344,2018,140,3,"Box",188,"Small",65.99,5
60183,"Heavy Cargo Transport","City",310,2018,128,2,"Box",161,"Small",69.95,5
60184,"Mining Team","City",82,2018,32,4,"Box",64,"Small",21.99,5
60202,"People Pack - Outdoor Adventures","City",164,2018,64,15,"Box",128,"Small",69.99,5
60208,"Parachute Arrest","City",218,2019,120,4,"Box",139,"Small",31.46,5
60213,"Dock Side Fire","City",97,2019,48,2,"Box",63,"Small",23.83,5
60215,"Fire Station","City",509,2019,184,4,"Box",210,"Small",56,5
60217,"Fire Plane","City",363,2019,156,3,"Box",151,"Small",53.99,6
60219,"Construction Loader","City",88,2019,36,1,"Box",50,"Small",8.99,5
60221,"Diving Yacht","City",148,2019,64,2,"Box",81,"Small",16,5
60223,"Harvester Transport","City",358,2019,148,3,"Box",166,"Small",54.8,5
60226,"Mars Research Shuttle","City",273,2019,160,2,"Box",135,"Small",31.99,5
60243,"Police Helicopter Chase","City",212,2020,128,4,"Box",127,"Small",35.98,5
60245,"Police Monster Truck Heist","City",362,2020,200,5,"Box",198,"Small",52.74,5
60246,"Police Station","City",743,2020,345,7,"Box",298,"Small",99.99,6
60248,"Fire Helicopter Response","City",93,2020,44,3,"Box",61,"Small",23.98,5
60249,"Street Sweeper","City",89,2020,48,1,"Box",55,"Small",8.99,5
60251,"Monster Truck","City",55,2020,32,1,"Box",34,"Small",8.99,5
60252,"Construction Bulldozer","City",126,2020,84,2,"Box",81,"Small",15.99,4
60258,"Tuning Workshop","City",897,2020,389,7,"Box",411,"Small",99.99,6
60266,"Ocean Exploration Ship","City",745,2020,229,8,"Box",314,"Small",149.99,7
60267,"Safari Off-Roader","City",168,2020,76,2,"Box",86,"Small",17.99,5
